timestamp,symbol,regime,strategy,current_qty
2020-11-13,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-13,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-13,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-13,BNB-USDT,TREND_DOWN,COOLDOWN,0.0
2020-11-14,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-14,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-14,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-14,BNB-USDT,TREND_DOWN,COOLDOWN,0.0
2020-11-15,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-15,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-15,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-15,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-16,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-16,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-16,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-16,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-17,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-17,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-17,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-17,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-18,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-18,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-18,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-18,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-19,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-19,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-19,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-11-19,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-20,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-20,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-20,SOL-USDT,TREND_UP,SWITCH_COOLDOWN,0.0
2020-11-20,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-21,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-21,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-21,SOL-USDT,TREND_UP,COOLDOWN,0.0
2020-11-21,BNB-USDT,TREND_DOWN,TrendDown,0.0
2020-11-22,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-22,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-22,SOL-USDT,TREND_UP,COOLDOWN,0.0
2020-11-22,BNB-USDT,SIDEWAYS,SWITCH_COOLDOWN,0.0
2020-11-23,BTC-USDT,TREND_UP,TrendUp,0.0
