signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2024-01-23,2024-01-24,BNB-USDT,sell,38.40120006961468,298.65060000000005,11.468541441510467,0.1494,negative,TrendUp,Close below SMA30
2024-01-28,2024-01-29,SOL-USDT,short,65.34636835063847,95.942005,6.269461599028798,0.047994999999999996,negative,TrendDown,signal
2024-01-29,2024-01-30,SOL-USDT,cover,65.34636835063847,101.720835,6.6470871528445175,0.050835000000000005,positive,TrendDown,Close above SMA30
2024-01-31,2024-02-01,BTC-USDT,short,0.3183087127272411,42558.71,13.546808195431963,21.29,negative,TrendDown,signal
2024-02-01,2024-02-02,BTC-USDT,cover,0.3183087127272411,43104.491474999995,13.720535194169587,21.541475,positive,TrendDown,Close above SMA30
2024-02-04,2024-02-05,BTC-USDT,short,0.35634852315719945,42561.58856,15.166759226580355,21.291439999999998,negative,TrendDown,signal
2024-02-04,2024-02-05,BNB-USDT,short,49.906116693751585,304.54765000000003,15.198790559707817,0.15234999999999999,negative,TrendDown,signal
2024-02-06,2024-02-07,BTC-USDT,cover,0.35634852315719945,43120.50947999999,15.365929870984017,21.54948,positive,TrendDown,Close above SMA30
2024-02-07,2024-02-08,BNB-USDT,cover,49.906116693751585,307.55369999999994,15.348810841795064,0.1537,positive,TrendDown,Close above SMA30
2024-02-22,2024-02-23,SOL-USDT,buy,77.47257391357067,101.80087499999999,7.886775812903669,0.050875000000000004,positive,TrendUp,signal
2024-02-23,2024-02-24,SOL-USDT,sell,77.47257391357067,99.860045,7.736414717274994,0.049955,negative,TrendUp,Close below SMA30
2024-02-24,2024-02-25,SOL-USDT,buy,79.09413739646831,104.07200999999999,8.231485858066625,0.05201,positive,TrendUp,signal
2024-02-25,2024-02-26,SOL-USDT,sell,79.09413739646831,103.418265,8.17977846121437,0.051735,negative,TrendUp,Close below SMA30
2024-03-19,2024-03-20,ETH-USDT,buy,2.15701785860197,3160.229325,6.816671091302649,1.579325,positive,TrendUp,signal
2024-03-19,2024-03-20,BTC-USDT,buy,0.13223391968120782,61968.378705,8.194321612451638,30.968705000000003,positive,TrendUp,signal
2024-03-21,2024-03-22,ETH-USDT,sell,2.15701785860197,3491.09358,7.530351198110686,1.74642,negative,TrendUp,Close below SMA30
